COUNTY,NAME,TYPE,EASTING,NORTHING,PRIMARY STOCKING OBJECTIVE,SECONDARY STOCKING OBJECTIVE,NUMBER RELEASED,STOCKING DATE,GROWTH STAGE,MARK,HATCHERY,FISH LENGTH (cm),FISH WEIGHT (g),STOCK,STOCK - STRAIN
Annapolis,ANNAPOLIS RIVER BRICKTON BRIDGE,River,332483,4974742,Fall Stocking Program,,500,11/20/1990,26-52 weeks after absorption of yolk sac,Left pelvic fin clip only,McGowan Lake,12.5,22,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Fall Stocking Program,,1000,10/23/2002,26-52 weeks after absorption of yolk sac,Adipose fin clip only,McGowan Lake,20,100,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Spring Stocking Program,,100000,06/06/2006,8-14 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,5,2,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Spring Stocking Program,,100000,06/04/2003,8-14 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,5,0.5,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Fall Stocking Program,,1866,10/25/2005,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,20,75,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Fall Stocking Program,,2000,10/21/1992,20-26 weeks after absorption of yolk sac,Adipose fin clip only,McGowan Lake,14,45,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Fall Stocking Program,,10000,11/17/1994,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,14.5,33,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Fall Stocking Program,,3600,10/31/1995,20-26 weeks after absorption of yolk sac,Adipose fin clip only,McGowan Lake,17,56,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Fall Stocking Program,,3600,10/31/1995,20-26 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,17,56,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Fall Stocking Program,,3360,10/26/1998,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,20,62.5,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Fall Stocking Program,,5000,10/20/1999,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,12.5,20,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Fall Stocking Program,,1000,10/26/2000,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,22.5,120,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Fall Stocking Program,,2800,10/27/2003,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,17.5,100,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,318856,4967575,Fall Stocking Program,,5000,10/13/2004,26-52 weeks after absorption of yolk sac,Adipose fin clip only,McGowan Lake,17.5,100,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER CARLTON RD BRIDGE,River,329584,4971297,Fall Stocking Program,,500,11/20/1990,26-52 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,12.5,22,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,ANNAPOLIS RIVER KINGSTON BRIDGE,River,346699,4982410,Fall Stocking Program,,750,11/20/1990,26-52 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,12.5,22,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,ANNAPOLIS RIVER KINGSTON BRIDGE,River,346699,4982410,Fall Stocking Program,,500,10/31/1991,20-26 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,12,23,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,ANNAPOLIS RIVER KINGSTON BRIDGE,River,346699,4982410,Fall Stocking Program,,1200,10/18/1993,20-26 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,16.7,57,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,ANNAPOLIS RIVER LAWRENCETOWN BRIDGE,River,329564,4971979,Fall Stocking Program,,500,11/20/1990,26-52 weeks after absorption of yolk sac,Left pelvic fin clip only,McGowan Lake,12.5,22,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,ANNAPOLIS RIVER LAWRENCETOWN BRIDGE,River,329564,4971979,Fall Stocking Program,,2400,10/05/1998,26-52 weeks after absorption of yolk sac,No mark or tag,Frasers Mills,15,25,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER LAWRENCETOWN BRIDGE,River,329564,4971979,Spring Stocking Program,,2250,04/29/1998,1-2 years from date of hatch,Adipose fin clip only,McGowan Lake,18,67,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,336999,4977995,Fall Stocking Program,,750,11/20/1990,26-52 weeks after absorption of yolk sac,Left pelvic fin clip only,McGowan Lake,12.5,22,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,336999,4977995,Fall Stocking Program,,500,10/31/1991,20-26 weeks after absorption of yolk sac,Left pelvic fin clip only,McGowan Lake,12,23,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,336999,4977995,Fall Stocking Program,,700,10/18/1993,20-26 weeks after absorption of yolk sac,Left pelvic fin clip only,McGowan Lake,15.5,64,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,CONNELL,Lake,337969,4954260,Spring Stocking Program,,1000,06/01/2011,1-2 years from date of hatch,No mark or tag,McGowan Lake,20,100,Brook Trout,Brook Trout - Domestic stock - Antigonish 
